timestamp	textPayload
'2026-02-12T18:10:28.843633027Z	Waiting for training program to start.
'2026-02-12T18:10:32.117811932Z	Job is preparing.
'2026-02-12T18:16:07.999294785Z	'2026-02-12 18:16:05.893540
'2026-02-12T18:16:07.999311618Z	QUIP Processing Started
'2026-02-12T18:16:07.999313545Z	'Args received : Namespace(quip_id='QUIP_FCC3E998E682945762B05648554130EA', data_date='2026-02-11', ecg_path='QUIP_files/QUIP_FC43CE0D333290040EB5DE653F693B26/ECG/', ram_dump='ecg_pwr_vmcu_ramdump.txt', gcs_bucket_input_quip='qed_battery-fnv-diagnostic-data-dev', gcs_bucket_prefix_quip='TEMP/QUIP_Download/2026-02-11/', gcs_bucket_prefix_input='TEMP/QUIP_Download/2026-02-11/QUIP_files/', gcs_bucket_prefix_result='TEMP/QUIP_Download/2026-02-11/results/')
'2026-02-12T18:16:07.999315154Z	'Starting QUIP processing, creating jira.create_empty_result_dataframe
'2026-02-12T18:16:07.999316579Z	Starting...
'2026-02-12T18:16:07.999318245Z	'Missing File client-offer.json
'2026-02-12T18:16:07.999319804Z	Completed...
'2026-02-12T18:16:07.999321345Z	Pipeline failed and errors that most likely not being captured in BigQuery: PROCESS_QUIP_ERROR
'2026-02-12T18:16:08.105775695Z	Job is running.
'2026-02-12T18:16:27.999735524Z	Traceback (most recent call last):
'2026-02-12T18:16:27.999736921Z	'File "/app/run_quip_id.py", line 461, in <module>
'2026-02-12T18:16:28.596665757Z	'logger_util.error(error_message, e, Status.PROCESS_QUIP_ERROR, '')
'2026-02-12T18:16:28.596676566Z	^^^^^^^^^^^^^^^^^^^^^^^^^
'2026-02-12T18:16:28.596677826Z	'File "/usr/local/lib/python3.11/enum.py", line 786, in __getattr__
'2026-02-12T18:16:28.600197560Z	raise AttributeError(name) from None
'2026-02-12T18:16:28.601796364Z	AttributeError: PROCESS_QUIP_ERROR
'2026-02-12T18:16:30.498814367Z	Attempt 1 failed: PROCESS_QUIP_ERROR
'2026-02-12T18:16:33.865940236Z	'The replica workerpool0-0 exited with a non-zero status of 1. Termination reason: Error. To find out more about why your job exited please check the logs: https://console.cloud.google.com/
'2026-02-12T18:19:59.015609943Z	Finished tearing down training program.
'2026-02-12T18:19:59.355967600Z	Job failed.
